격자ID,중심위도,중심경도,한변_m,세대수,직장인구
G375382_1270478,37.538167,127.047769,100,8,14
G375391_1270478,37.539072,127.047769,100,7,19
G375400_1270478,37.539977,127.047769,100,9,28
G375409_1270478,37.540881,127.047769,100,6,33
G375418_1270478,37.541786,127.047769,100,12,25
G375427_1270478,37.542691,127.047769,100,11,43
G375436_1270478,37.543595,127.047769,100,7,41
G375445_1270478,37.5445,127.047769,100,7,19
G375454_1270478,37.545405,127.047769,100,9,18
G375463_1270478,37.546309,127.047769,100,10,22
G375472_1270478,37.547214,127.047769,100,9,34
G375481_1270478,37.548119,127.047769,100,6,22
G375490_1270478,37.549023,127.047769,100,5,16
G375499_1270478,37.549928,127.047769,100,9,17
G375508_1270478,37.550833,127.047769,100,8,12
G375382_1270489,37.538167,127.048902,100,5,24
G375391_1270489,37.539072,127.048902,100,6,21
G375400_1270489,37.539977,127.048902,100,9,16
G375409_1270489,37.540881,127.048902,100,13,16
G375418_1270489,37.541786,127.048902,100,12,44
G375427_1270489,37.542691,127.048902,100,15,18
G375436_1270489,37.543595,127.048902,100,12,17
G375445_1270489,37.5445,127.048902,100,7,27
G375454_1270489,37.545405,127.048902,100,11,33
G375463_1270489,37.546309,127.048902,100,14,44
G375472_1270489,37.547214,127.048902,100,6,28
G375481_1270489,37.548119,127.048902,100,7,29
G375490_1270489,37.549023,127.048902,100,10,40
G375499_1270489,37.549928,127.048902,100,10,30
G375508_1270489,37.550833,127.048902,100,6,14
G375382_1270500,37.538167,127.050035,100,5,24
G375391_1270500,37.539072,127.050035,100,8,30
G375400_1270500,37.539977,127.050035,100,10,21
G375409_1270500,37.540881,127.050035,100,10,39
G375418_1270500,37.541786,127.050035,100,8,33
G375427_1270500,37.542691,127.050035,100,15,25
G375436_1270500,37.543595,127.050035,100,18,28
G375445_1270500,37.5445,127.050035,100,10,42
G375454_1270500,37.545405,127.050035,100,13,28
G375463_1270500,37.546309,127.050035,100,10,49
G375472_1270500,37.547214,127.050035,100,13,34
G375481_1270500,37.548119,127.050035,100,9,52
G375490_1270500,37.549023,127.050035,100,5,21
G375499_1270500,37.549928,127.050035,100,8,30
G375508_1270500,37.550833,127.050035,100,8,15
G375382_1270512,37.538167,127.051168,100,6,16
G375391_1270512,37.539072,127.051168,100,13,29
G375400_1270512,37.539977,127.051168,100,9,24
G375409_1270512,37.540881,127.051168,100,17,56
G375418_1270512,37.541786,127.051168,100,18,31
G375427_1270512,37.542691,127.051168,100,17,61
G375436_1270512,37.543595,127.051168,100,22,43
G375445_1270512,37.5445,127.051168,100,11,64
G375454_1270512,37.545405,127.051168,100,22,39
G375463_1270512,37.546309,127.051168,100,11,38
G375472_1270512,37.547214,127.051168,100,13,42
G375481_1270512,37.548119,127.051168,100,8,36
