상호,브랜드,티어,위도,경도,좌석수,자사
뚜레쥬르 성수1점,뚜레쥬르,비커피,37.539556,127.05353,30,N
뚜레쥬르 성수2점,뚜레쥬르,비커피,37.546326,127.054066,30,N
빽다방 성수3점,빽다방,저가형,37.541501,127.052456,24,N
이디야커피 성수4점,이디야커피,저가형,37.546808,127.059125,12,N
컴포즈커피 성수5점,컴포즈커피,저가형,37.542921,127.05566,30,N
컴포즈커피 성수6점,컴포즈커피,저가형,37.545022,127.057094,55,N
투썸플레이스 성수7점,투썸플레이스,동일가격대,37.546426,127.058616,16,N
블루보틀 성수8점,블루보틀,스페셜티,37.546482,127.060108,40,N
투썸플레이스 성수9점,투썸플레이스,동일가격대,37.54351,127.049704,12,N
블루보틀 성수10점,블루보틀,스페셜티,37.543808,127.049243,30,N
투썸플레이스 성수11점,투썸플레이스,동일가격대,37.539966,127.057074,40,N
블루보틀 성수12점,블루보틀,스페셜티,37.543089,127.061766,12,N
폴바셋 성수13점,폴바셋,스페셜티,37.543052,127.055075,12,N
커피빈 성수14점,커피빈,동일가격대,37.545363,127.051647,30,N
파리바게뜨 성수15점,파리바게뜨,비커피,37.542794,127.060288,16,N
폴바셋 성수16점,폴바셋,스페셜티,37.546922,127.050329,24,N
컴포즈커피 성수17점,컴포즈커피,저가형,37.543225,127.051833,12,N
매머드커피 성수18점,매머드커피,저가형,37.546604,127.06136,20,N
빽다방 성수19점,빽다방,저가형,37.546596,127.054594,30,N
메가MGC커피 성수20점,메가MGC커피,저가형,37.544586,127.060395,40,N
블루보틀 성수21점,블루보틀,스페셜티,37.543301,127.051234,30,N
빽다방 성수22점,빽다방,저가형,37.542639,127.05923,55,N
매머드커피 성수23점,매머드커피,저가형,37.543922,127.055813,24,N
이디야커피 성수24점,이디야커피,저가형,37.547088,127.051805,24,N
컴포즈커피 성수25점,컴포즈커피,저가형,37.542402,127.054631,30,N
이디야커피 성수26점,이디야커피,저가형,37.543495,127.057934,55,N
컴포즈커피 성수27점,컴포즈커피,저가형,37.5441,127.049492,40,N
파리바게뜨 성수28점,파리바게뜨,비커피,37.545872,127.060457,20,N
블루보틀 성수29점,블루보틀,스페셜티,37.543764,127.061914,12,N
매머드커피 성수30점,매머드커피,저가형,37.547605,127.060742,55,N
뚜레쥬르 강남역1점,뚜레쥬르,비커피,37.501434,127.026596,20,N
매머드커피 강남역2점,매머드커피,저가형,37.494651,127.029748,40,N
커피빈 강남역3점,커피빈,동일가격대,37.500858,127.029316,24,N
블루보틀 강남역4점,블루보틀,스페셜티,37.501115,127.032442,55,N
매머드커피 강남역5점,매머드커피,저가형,37.500436,127.029616,12,N
컴포즈커피 강남역6점,컴포즈커피,저가형,37.502072,127.024932,55,N
컴포즈커피 강남역7점,컴포즈커피,저가형,37.496268,127.02813,20,N
할리스커피 강남역8점,할리스커피,동일가격대,37.499726,127.024667,20,N
매머드커피 강남역9점,매머드커피,저가형,37.500058,127.024779,16,N
매머드커피 강남역10점,매머드커피,저가형,37.49856,127.027027,20,N
이디야커피 강남역11점,이디야커피,저가형,37.499036,127.032436,24,N
이디야커피 강남역12점,이디야커피,저가형,37.493669,127.030153,55,N
투썸플레이스 강남역13점,투썸플레이스,동일가격대,37.499984,127.027032,30,N
빽다방 강남역14점,빽다방,저가형,37.500387,127.030632,40,N
스타벅스 강남역15점,스타벅스,동일가격대,37.497633,127.031293,40,N
컴포즈커피 강남역16점,컴포즈커피,저가형,37.496592,127.029833,16,N
뚜레쥬르 강남역17점,뚜레쥬르,비커피,37.493399,127.028177,55,N
투썸플레이스 강남역18점,투썸플레이스,동일가격대,37.496893,127.033303,24,N
할리스커피 강남역19점,할리스커피,동일가격대,37.494236,127.029093,30,N
더벤티 강남역20점,더벤티,저가형,37.501502,127.023221,16,N
커피빈 강남역21점,커피빈,동일가격대,37.493867,127.023523,12,N
커피빈 강남역22점,커피빈,동일가격대,37.499329,127.026448,12,N
컴포즈커피 강남역23점,컴포즈커피,저가형,37.498188,127.0315,12,N
매머드커피 강남역24점,매머드커피,저가형,37.501763,127.030678,16,N
파리바게뜨 강남역25점,파리바게뜨,비커피,37.495575,127.031009,30,N
스타벅스 강남역26점,스타벅스,동일가격대,37.49783,127.033665,40,N
더벤티 강남역27점,더벤티,저가형,37.500496,127.032761,20,N
블루보틀 강남역28점,블루보틀,스페셜티,37.497902,127.026054,20,N
폴바셋 강남역29점,폴바셋,스페셜티,37.493439,127.029559,16,N
더벤티 강남역30점,더벤티,저가형,37.499896,127.024354,55,N
뚜레쥬르 강남역31점,뚜레쥬르,비커피,37.498323,127.024226,20,N
스타벅스 강남역32점,스타벅스,동일가격대,37.496009,127.027398,16,N
투썸플레이스 강남역33점,투썸플레이스,동일가격대,37.501434,127.028181,12,N
파리바게뜨 강남역34점,파리바게뜨,비커피,37.496605,127.031365,16,N
이디야커피 강남역35점,이디야커피,저가형,37.49758,127.023819,30,N
스타벅스 강남역36점,스타벅스,동일가격대,37.496713,127.022167,24,N
메가MGC커피 강남역37점,메가MGC커피,저가형,37.497104,127.030023,40,N
빽다방 강남역38점,빽다방,저가형,37.49763,127.032511,16,N
뚜레쥬르 강남역39점,뚜레쥬르,비커피,37.496748,127.027777,16,N
블루보틀 강남역40점,블루보틀,스페셜티,37.495851,127.03084,24,N
매머드커피 강남역41점,매머드커피,저가형,37.498233,127.033145,16,N
컴포즈커피 강남역42점,컴포즈커피,저가형,37.498781,127.031942,24,N
파리바게뜨 강남역43점,파리바게뜨,비커피,37.500325,127.033498,40,N
할리스커피 강남역44점,할리스커피,동일가격대,37.49288,127.027689,16,N
빽다방 강남역45점,빽다방,저가형,37.496953,127.028819,24,N
이디야커피 강남역46점,이디야커피,저가형,37.494227,127.028045,55,N
커피빈 강남역47점,커피빈,동일가격대,37.496291,127.031793,24,N
커피빈 강남역48점,커피빈,동일가격대,37.502334,127.028688,12,N
할리스커피 강남역49점,할리스커피,동일가격대,37.496805,127.02788,30,N
뚜레쥬르 강남역50점,뚜레쥬르,비커피,37.496035,127.026702,40,N
블루보틀 강남역51점,블루보틀,스페셜티,37.496173,127.025612,30,N
뚜레쥬르 강남역52점,뚜레쥬르,비커피,37.493351,127.025358,16,N
스타벅스 강남역53점,스타벅스,동일가격대,37.499342,127.028307,12,N
스타벅스 강남역54점,스타벅스,동일가격대,37.500668,127.032462,16,N
이디야커피 강남역55점,이디야커피,저가형,37.501098,127.030388,40,N
폴바셋 강남역56점,폴바셋,스페셜티,37.501252,127.031499,55,N
파리바게뜨 강남역57점,파리바게뜨,비커피,37.496799,127.033574,16,N
스타벅스 강남역58점,스타벅스,동일가격대,37.497639,127.028625,40,N
빽다방 목동1점,빽다방,저가형,37.528887,126.878559,30,N
뚜레쥬르 목동2점,뚜레쥬르,비커피,37.528469,126.878499,40,N
블루보틀 목동3점,블루보틀,스페셜티,37.521802,126.872347,12,N
컴포즈커피 목동4점,컴포즈커피,저가형,37.525598,126.873154,12,N
메가MGC커피 목동5점,메가MGC커피,저가형,37.529058,126.876006,30,N
컴포즈커피 목동6점,컴포즈커피,저가형,37.530822,126.875411,16,N
뚜레쥬르 목동7점,뚜레쥬르,비커피,37.527454,126.879928,20,N
이디야커피 목동8점,이디야커피,저가형,37.531159,126.874921,24,N
매머드커피 목동9점,매머드커피,저가형,37.521544,126.87383,16,N
뚜레쥬르 목동10점,뚜레쥬르,비커피,37.522596,126.878264,24,N
폴바셋 목동11점,폴바셋,스페셜티,37.526223,126.876933,12,N
블루보틀 목동12점,블루보틀,스페셜티,37.523144,126.874227,20,N
뚜레쥬르 홍대1점,뚜레쥬르,비커피,37.55757,126.919216,20,N
빽다방 홍대2점,빽다방,저가형,37.553739,126.926684,40,N
스타벅스 홍대3점,스타벅스,동일가격대,37.558954,126.924872,40,N
파리바게뜨 홍대4점,파리바게뜨,비커피,37.555672,126.93005,16,N
뚜레쥬르 홍대5점,뚜레쥬르,비커피,37.559952,126.919278,40,N
더벤티 홍대6점,더벤티,저가형,37.55683,126.926541,16,N
빽다방 홍대7점,빽다방,저가형,37.553467,126.928265,30,N
더벤티 홍대8점,더벤티,저가형,37.558167,126.926629,24,N
더벤티 홍대9점,더벤티,저가형,37.55419,126.928797,24,N
컴포즈커피 홍대10점,컴포즈커피,저가형,37.556868,126.930799,55,N
할리스커피 홍대11점,할리스커피,동일가격대,37.5587,126.920344,30,N
뚜레쥬르 홍대12점,뚜레쥬르,비커피,37.554185,126.923257,40,N
투썸플레이스 홍대13점,투썸플레이스,동일가격대,37.554167,126.919895,24,N
파리바게뜨 홍대14점,파리바게뜨,비커피,37.552274,126.923185,30,N
빽다방 홍대15점,빽다방,저가형,37.5572,126.919496,12,N
폴바셋 홍대16점,폴바셋,스페셜티,37.559231,126.924292,16,N
빽다방 홍대17점,빽다방,저가형,37.555561,126.922158,30,N
이디야커피 홍대18점,이디야커피,저가형,37.555648,126.929726,16,N
컴포즈커피 홍대19점,컴포즈커피,저가형,37.558196,126.91819,40,N
더벤티 홍대20점,더벤티,저가형,37.554648,126.920333,24,N
투썸플레이스 홍대21점,투썸플레이스,동일가격대,37.554174,126.925559,55,N
폴바셋 홍대22점,폴바셋,스페셜티,37.559066,126.919846,30,N
투썸플레이스 홍대23점,투썸플레이스,동일가격대,37.56234,126.923897,55,N
이디야커피 홍대24점,이디야커피,저가형,37.560295,126.925479,55,N
빽다방 홍대25점,빽다방,저가형,37.556664,126.924599,12,N
더벤티 홍대26점,더벤티,저가형,37.56096,126.927901,55,N
컴포즈커피 홍대27점,컴포즈커피,저가형,37.562492,126.924747,20,N
이디야커피 홍대28점,이디야커피,저가형,37.55813,126.919365,24,N
매머드커피 홍대29점,매머드커피,저가형,37.557492,126.93034,30,N
파리바게뜨 홍대30점,파리바게뜨,비커피,37.560538,126.919999,12,N
매머드커피 홍대31점,매머드커피,저가형,37.558431,126.928061,40,N
커피빈 홍대32점,커피빈,동일가격대,37.554781,126.923278,16,N
폴바셋 홍대33점,폴바셋,스페셜티,37.557121,126.921575,24,N
투썸플레이스 홍대34점,투썸플레이스,동일가격대,37.561201,126.924225,20,N
커피빈 홍대35점,커피빈,동일가격대,37.558745,126.928678,55,N
매머드커피 홍대36점,매머드커피,저가형,37.560002,126.918921,55,N
블루보틀 홍대37점,블루보틀,스페셜티,37.557947,126.93041,55,N
블루보틀 홍대38점,블루보틀,스페셜티,37.559497,126.92785,12,N
폴바셋 홍대39점,폴바셋,스페셜티,37.559502,126.929588,16,N
커피빈 홍대40점,커피빈,동일가격대,37.555491,126.921849,16,N
빽다방 홍대41점,빽다방,저가형,37.559828,126.924858,40,N
더벤티 홍대42점,더벤티,저가형,37.561336,126.922511,20,N
뚜레쥬르 홍대43점,뚜레쥬르,비커피,37.553563,126.92608,55,N
더벤티 홍대44점,더벤티,저가형,37.551997,126.924695,55,N
뚜레쥬르 홍대45점,뚜레쥬르,비커피,37.560875,126.919644,24,N
뚜레쥬르 홍대46점,뚜레쥬르,비커피,37.561067,126.92166,55,N
스타벅스 홍대47점,스타벅스,동일가격대,37.555275,126.928706,30,N
빽다방 홍대48점,빽다방,저가형,37.558355,126.921083,16,N
메가MGC커피 홍대49점,메가MGC커피,저가형,37.560959,126.928489,20,N
커피빈 홍대50점,커피빈,동일가격대,37.561822,126.923636,40,N
메가MGC커피 홍대51점,메가MGC커피,저가형,37.55871,126.927258,55,N
메가MGC커피 홍대52점,메가MGC커피,저가형,37.561822,126.925631,24,N
이디야커피 홍대53점,이디야커피,저가형,37.558694,126.929352,12,N
폴바셋 홍대54점,폴바셋,스페셜티,37.559661,126.927174,40,N
메가MGC커피 홍대55점,메가MGC커피,저가형,37.553605,126.92136,12,N
뚜레쥬르 홍대56점,뚜레쥬르,비커피,37.561046,126.929086,24,N
폴바셋 홍대57점,폴바셋,스페셜티,37.556955,126.928581,30,N
할리스커피 홍대58점,할리스커피,동일가격대,37.553986,126.919381,24,N
메가MGC커피 홍대59점,메가MGC커피,저가형,37.557927,126.927538,40,N
투썸플레이스 홍대60점,투썸플레이스,동일가격대,37.552447,126.9229,40,N
이디야커피 홍대61점,이디야커피,저가형,37.55558,126.928435,30,N
커피빈 홍대62점,커피빈,동일가격대,37.558743,126.928455,55,N
이디야커피 홍대63점,이디야커피,저가형,37.562541,126.925108,12,N
할리스커피 홍대64점,할리스커피,동일가격대,37.554578,126.921417,12,N
투썸플레이스 홍대65점,투썸플레이스,동일가격대,37.558166,126.92364,24,N
스타벅스 홍대66점,스타벅스,동일가격대,37.556992,126.920594,20,N
블루보틀 홍대67점,블루보틀,스페셜티,37.555583,126.929239,40,N
