점포명,주소,위도,경도,개점일,기준점포,월매출_만원,일매출_만원,전용면적_평,좌석수,층,코너여부,전면폭_m,주차가능대수,정차가능,도로변,방향적합,보증금_만원,월임대료_만원,관리비_만원,권리금_만원,계약조건점수,잔존율_R,비고
카페하다 왕십리점,,37.5613,127.038,2023-01-01,N,2533.4,84.45,18,22,1,N,5.5,0,Y,B,Y,6080,369,16,1000,4,,mixed 상권
카페하다 역삼점,,37.5006,127.0364,2023-02-01,Y,4178.2,139.27,20,30,1,N,9.3,4,N,B,Y,9270,489,31,100,3,,office 상권
카페하다 서초점,,37.4837,127.0324,2023-03-01,N,3541.1,118.04,16,22,2,Y,6.6,8,Y,B,N,6670,423,23,8000,2,,office 상권
카페하다 잠실새내점,,37.5114,127.0864,2023-04-01,N,2976.1,99.2,16,30,1,Y,5.7,0,N,B,N,6160,299,15,900,1,,retail 상권
카페하다 건대입구점,,37.5405,127.07,2023-05-01,N,2941.5,98.05,20,30,1,Y,6.7,0,N,B,Y,4790,311,23,4100,3,,campus 상권
카페하다 상암점,,37.5796,126.8893,2023-06-01,Y,3672.8,122.43,24,18,1,N,10.6,8,N,B,N,7860,590,33,6900,3,,office 상권
카페하다 여의도점,,37.5216,126.9243,2024-07-01,N,4686.0,156.2,20,22,2,Y,8.5,8,N,A,Y,9020,556,22,5200,5,,office 상권
카페하다 종로3가점,,37.5704,126.9917,2024-08-01,N,2947.5,98.25,24,26,1,N,10.2,0,Y,A,N,6500,411,38,5400,3,,mixed 상권
카페하다 사당점,,37.4765,126.9816,2024-09-01,N,2367.1,78.9,20,30,1,Y,10.0,0,Y,A,Y,5780,332,19,2900,5,,mixed 상권
카페하다 노원점,,37.6542,127.0568,2024-10-01,N,1693.8,56.46,24,26,1,Y,6.5,2,Y,B,N,3960,316,30,4800,3,,resi 상권
카페하다 수유점,,37.6377,127.0255,2024-11-01,N,1884.8,62.83,22,30,1,Y,7.0,0,Y,B,N,3480,231,26,2800,3,,resi 상권
카페하다 화곡점,,37.5416,126.8404,2024-12-01,N,1589.4,52.98,16,30,1,N,4.6,4,Y,A,Y,3070,202,25,4900,5,,resi 상권
카페하다 부천중동점,,37.5035,126.766,2025-01-01,N,3757.0,125.23,22,18,1,N,7.8,2,N,A,Y,6590,493,21,1400,3,,retail 상권
카페하다 분당서현점,,37.3853,127.1234,2025-02-01,N,3462.7,115.42,24,22,1,Y,4.8,4,Y,A,Y,6390,488,26,200,1,,mixed 상권
카페하다 안양범계점,,37.3894,126.9506,2025-03-01,N,3962.8,132.09,24,30,1,N,11.0,8,N,B,N,9030,542,34,2000,5,,retail 상권
카페하다 일산라페스타점,,37.6584,126.7699,2025-04-01,N,5038.2,167.94,24,22,1,Y,9.5,4,Y,B,Y,9440,623,37,7000,3,,retail 상권
