점포명,개점일,심의시_예측_중앙_만원,6개월_월매출_만원,12개월_월매출_만원,인접자사점,인접_overlap,인접_개점전_월매출_만원,인접_개점후_월매출_만원,실측_같은편_오전,실측_반대편_오전
카페하다 왕십리점,2023-01-01,2431.5,2328.4,2533.4,,,,,,
카페하다 역삼점,2023-02-01,5220.1,3840.3,4178.2,,,,,,
카페하다 서초점,2023-03-01,3265.9,3312.2,3541.1,카페하다 잠실새내점,0.34,3959.8,3401.1,,
카페하다 잠실새내점,2023-04-01,3517.1,2760.5,2976.1,,,,,,
카페하다 건대입구점,2023-05-01,2024.8,2787.3,2941.5,,,,,,
카페하다 상암점,2023-06-01,3663.0,3580.9,3672.8,카페하다 여의도점,0.22,3963.7,3510.7,,
카페하다 여의도점,2024-07-01,4751.4,4377.5,4686.0,,,,,,
카페하다 종로3가점,2024-08-01,3209.0,2725.9,2947.5,,,,,,
카페하다 사당점,2024-09-01,3153.1,2162.6,2367.1,카페하다 노원점,0.41,2704.2,2243.4,,
카페하다 노원점,2024-10-01,2163.8,1538.5,1693.8,,,,,,
카페하다 수유점,2024-11-01,1867.2,1704.2,1884.8,,,,,,
카페하다 화곡점,2024-12-01,1948.3,1413.3,1589.4,,,,,,
