지점ID,위도,경도,도로변,시간대,인원,출처,단위면적_m2
성수 연무장길-0,37.54311,127.05638,A,오전,3312,실측,
성수 연무장길-0,37.54311,127.05638,A,전체,18441,실측,
성수 연무장길-0,37.54311,127.05638,A,주말,3606,실측,
성수 연무장길-0,37.54311,127.05638,A,야간,1090,실측,
성수 연무장길-1,37.544736,127.055485,B,오전,1451,실측,
성수 연무장길-1,37.544736,127.055485,B,전체,7626,실측,
성수 연무장길-2,37.544038,127.057592,A,오전,3198,실측,
성수 연무장길-2,37.544038,127.057592,A,전체,18344,실측,
성수 연무장길-3,37.543805,127.054337,B,오전,1456,실측,
성수 연무장길-3,37.543805,127.054337,B,전체,8187,실측,
강남역 11번출구-0,37.499504,127.028847,A,오전,5338,실측,
강남역 11번출구-0,37.499504,127.028847,A,전체,32731,실측,
강남역 11번출구-0,37.499504,127.028847,A,주말,6999,실측,
강남역 11번출구-0,37.499504,127.028847,A,야간,5422,실측,
강남역 11번출구-1,37.496381,127.027401,B,오전,2952,실측,
강남역 11번출구-1,37.496381,127.027401,B,전체,18325,실측,
강남역 11번출구-2,37.496656,127.027024,A,오전,3539,실측,
강남역 11번출구-2,37.496656,127.027024,A,전체,20477,실측,
강남역 11번출구-3,37.498143,127.026361,B,오전,2720,실측,
강남역 11번출구-3,37.498143,127.026361,B,전체,17056,실측,
목동 7단지 상가-0,37.527005,126.874224,A,오전,1275,실측,
목동 7단지 상가-0,37.527005,126.874224,A,전체,6565,실측,
목동 7단지 상가-0,37.527005,126.874224,A,주말,1629,실측,
목동 7단지 상가-0,37.527005,126.874224,A,야간,1088,실측,
목동 7단지 상가-1,37.527441,126.87464,B,오전,1385,실측,
목동 7단지 상가-1,37.527441,126.87464,B,전체,7137,실측,
목동 7단지 상가-2,37.526318,126.873415,A,오전,789,실측,
목동 7단지 상가-2,37.526318,126.873415,A,전체,4615,실측,
목동 7단지 상가-3,37.526612,126.876758,B,오전,1471,실측,
목동 7단지 상가-3,37.526612,126.876758,B,전체,9547,실측,
홍대 어울마당로-0,37.557809,126.922824,A,오전,3749,실측,
홍대 어울마당로-0,37.557809,126.922824,A,전체,20736,실측,
홍대 어울마당로-0,37.557809,126.922824,A,주말,6403,실측,
홍대 어울마당로-0,37.557809,126.922824,A,야간,3679,실측,
홍대 어울마당로-1,37.556741,126.924053,B,오전,2250,실측,
홍대 어울마당로-1,37.556741,126.924053,B,전체,10898,실측,
홍대 어울마당로-2,37.555931,126.926319,A,오전,3780,실측,
홍대 어울마당로-2,37.555931,126.926319,A,전체,21334,실측,
홍대 어울마당로-3,37.558718,126.924517,B,오전,4392,실측,
홍대 어울마당로-3,37.558718,126.924517,B,전체,24577,실측,
판교 유스페이스-0,37.402295,127.108325,A,오전,3040,실측,
판교 유스페이스-0,37.402295,127.108325,A,전체,14106,실측,
판교 유스페이스-0,37.402295,127.108325,A,주말,3770,실측,
판교 유스페이스-0,37.402295,127.108325,A,야간,2319,실측,
판교 유스페이스-1,37.401727,127.109778,B,오전,2501,실측,
판교 유스페이스-1,37.401727,127.109778,B,전체,11993,실측,
판교 유스페이스-2,37.401473,127.107664,A,오전,2637,실측,
판교 유스페이스-2,37.401473,127.107664,A,전체,14946,실측,
판교 유스페이스-3,37.40042,127.107882,B,오전,2530,실측,
판교 유스페이스-3,37.40042,127.107882,B,전체,12209,실측,
신림 별빛거리-0,37.48324,126.929617,A,오전,3233,실측,
신림 별빛거리-0,37.48324,126.929617,A,전체,16196,실측,
신림 별빛거리-0,37.48324,126.929617,A,주말,2649,실측,
신림 별빛거리-0,37.48324,126.929617,A,야간,2281,실측,
신림 별빛거리-1,37.48512,126.931022,B,오전,3546,실측,
신림 별빛거리-1,37.48512,126.931022,B,전체,18114,실측,
신림 별빛거리-2,37.483142,126.931256,A,오전,2095,실측,
신림 별빛거리-2,37.483142,126.931256,A,전체,12619,실측,
신림 별빛거리-3,37.482821,126.930126,B,오전,3116,실측,
신림 별빛거리-3,37.482821,126.930126,B,전체,18766,실측,
카페하다 왕십리점-0,37.562869,127.0399,A,오전,1973,실측,
카페하다 왕십리점-0,37.562869,127.0399,A,전체,10907,실측,
카페하다 왕십리점-0,37.562869,127.0399,A,주말,4283,실측,
카페하다 왕십리점-0,37.562869,127.0399,A,야간,880,실측,
카페하다 왕십리점-1,37.561881,127.037241,B,오전,1570,실측,
카페하다 왕십리점-1,37.561881,127.037241,B,전체,8387,실측,
카페하다 왕십리점-2,37.562605,127.038784,A,오전,1742,실측,
카페하다 왕십리점-2,37.562605,127.038784,A,전체,9114,실측,
카페하다 왕십리점-3,37.562794,127.039394,B,오전,2076,실측,
카페하다 왕십리점-3,37.562794,127.039394,B,전체,10304,실측,
카페하다 역삼점-0,37.502001,127.036954,A,오전,3220,실측,
카페하다 역삼점-0,37.502001,127.036954,A,전체,18970,실측,
카페하다 역삼점-0,37.502001,127.036954,A,주말,4021,실측,
카페하다 역삼점-0,37.502001,127.036954,A,야간,1241,실측,
카페하다 역삼점-1,37.501696,127.036024,B,오전,4347,실측,
카페하다 역삼점-1,37.501696,127.036024,B,전체,23798,실측,
카페하다 역삼점-2,37.499269,127.037246,A,오전,5342,실측,
